Arestas da Arborescência Mínima:
207 - 0 (1)
245 - 1 (2)
66 - 2 (3)
187 - 3 (4)
244 - 4 (5)
463 - 5 (6)
167 - 6 (7)
110 - 7 (8)
295 - 8 (9)
122 - 9 (10)
122 - 10 (11)
91 - 11 (12)
99 - 12 (13)
260 - 13 (14)
454 - 14 (15)
61 - 15 (16)
208 - 16 (17)
230 - 17 (18)
373 - 18 (19)
107 - 19 (20)
499 - 20 (21)
334 - 21 (22)
389 - 22 (23)
232 - 23 (24)
36 - 24 (25)
167 - 25 (26)
253 - 26 (27)
64 - 27 (28)
215 - 28 (29)
227 - 29 (30)
80 - 30 (31)
311 - 31 (32)
232 - 32 (33)
311 - 33 (34)
207 - 34 (35)
231 - 35 (36)
227 - 36 (37)
227 - 37 (38)
331 - 38 (39)
250 - 39 (40)
379 - 40 (41)
441 - 41 (42)
110 - 42 (43)
300 - 43 (44)
325 - 44 (45)
137 - 45 (46)
463 - 46 (47)
72 - 47 (48)
350 - 48 (49)
48 - 49 (50)
473 - 50 (51)
158 - 51 (52)
0 - 52 (53)
180 - 53 (54)
484 - 54 (55)
94 - 55 (56)
454 - 56 (57)
373 - 57 (58)
482 - 58 (59)
48 - 59 (60)
451 - 60 (61)
469 - 61 (62)
497 - 62 (63)
469 - 63 (64)
311 - 64 (65)
323 - 65 (66)
8 - 66 (67)
118 - 67 (68)
158 - 68 (69)
300 - 69 (70)
497 - 70 (71)
125 - 71 (72)
365 - 72 (73)
463 - 73 (74)
456 - 74 (75)
183 - 75 (76)
47 - 76 (77)
392 - 77 (78)
343 - 78 (79)
382 - 79 (80)
324 - 80 (81)
285 - 81 (82)
99 - 82 (83)
99 - 83 (84)
288 - 84 (85)
90 - 85 (86)
91 - 86 (87)
210 - 87 (88)
373 - 88 (89)
160 - 89 (90)
433 - 90 (91)
406 - 91 (92)
400 - 92 (93)
230 - 93 (94)
373 - 94 (95)
232 - 95 (96)
189 - 96 (97)
345 - 97 (98)
245 - 98 (99)
183 - 99 (100)
253 - 100 (101)
118 - 101 (102)
126 - 102 (103)
239 - 103 (104)
183 - 104 (105)
27 - 105 (106)
44 - 106 (107)
100 - 107 (108)
302 - 108 (109)
183 - 109 (110)
239 - 110 (111)
253 - 111 (112)
80 - 112 (113)
312 - 113 (114)
459 - 114 (115)
72 - 115 (116)
482 - 116 (117)
379 - 117 (118)
110 - 118 (119)
267 - 119 (120)
107 - 120 (121)
301 - 121 (122)
125 - 122 (123)
232 - 123 (124)
137 - 124 (125)
18 - 125 (126)
47 - 126 (127)
201 - 127 (128)
270 - 128 (129)
249 - 129 (130)
14 - 130 (131)
456 - 131 (132)
113 - 132 (133)
463 - 133 (134)
7 - 134 (135)
182 - 135 (136)
215 - 136 (137)
375 - 137 (138)
312 - 138 (139)
203 - 139 (140)
234 - 140 (141)
16 - 141 (142)
99 - 142 (143)
160 - 143 (144)
189 - 144 (145)
117 - 145 (146)
18 - 146 (147)
183 - 147 (148)
189 - 148 (149)
424 - 149 (150)
374 - 150 (151)
31 - 151 (152)
158 - 152 (153)
275 - 153 (154)
300 - 154 (155)
373 - 155 (156)
331 - 156 (157)
234 - 157 (158)
352 - 158 (159)
27 - 159 (160)
490 - 160 (161)
244 - 161 (162)
172 - 162 (163)
312 - 163 (164)
458 - 164 (165)
433 - 165 (166)
245 - 166 (167)
48 - 167 (168)
72 - 168 (169)
118 - 169 (170)
189 - 170 (171)
80 - 171 (172)
160 - 172 (173)
396 - 173 (174)
488 - 174 (175)
396 - 175 (176)
100 - 176 (177)
329 - 177 (178)
