Arestas da Arborescência Mínima:
207 -> 0( 1 )
359 -> 0( 1 )
252 -> 0( 1 )
106 -> 0( 1 )
240 -> 0( 1 )
410 -> 0( 1 )
164 -> 1( 2 )
245 -> 1( 2 )
486 -> 1( 2 )
138 -> 1( 2 )
283 -> 1( 2 )
324 -> 1( 2 )
61 -> 1( 2 )
436 -> 1( 2 )
457 -> 2( 3 )
296 -> 2( 3 )
6 -> 2( 3 )
120 -> 2( 3 )
66 -> 2( 3 )
240 -> 2( 3 )
77 -> 2( 3 )
96 -> 3( 4 )
81 -> 3( 4 )
17 -> 3( 4 )
187 -> 3( 4 )
372 -> 3( 4 )
136 -> 3( 4 )
335 -> 3( 4 )
194 -> 3( 4 )
354 -> 4( 5 )
284 -> 4( 5 )
244 -> 4( 5 )
442 -> 4( 5 )
439 -> 4( 5 )
361 -> 4( 5 )
11 -> 4( 5 )
474 -> 4( 5 )
53 -> 5( 6 )
275 -> 5( 6 )
361 -> 5( 6 )
463 -> 5( 6 )
416 -> 6( 7 )
167 -> 6( 7 )
470 -> 6( 7 )
123 -> 6( 7 )
187 -> 6( 7 )
58 -> 6( 7 )
129 -> 6( 7 )
87 -> 7( 8 )
287 -> 7( 8 )
174 -> 7( 8 )
110 -> 7( 8 )
478 -> 7( 8 )
121 -> 7( 8 )
14 -> 7( 8 )
316 -> 7( 8 )
465 -> 8( 9 )
280 -> 8( 9 )
268 -> 8( 9 )
295 -> 8( 9 )
473 -> 8( 9 )
349 -> 8( 9 )
24 -> 8( 9 )
387 -> 9( 10 )
122 -> 9( 10 )
91 -> 9( 10 )
162 -> 9( 10 )
249 -> 9( 10 )
421 -> 10( 11 )
201 -> 10( 11 )
122 -> 10( 11 )
438 -> 10( 11 )
145 -> 10( 11 )
131 -> 10( 11 )
62 -> 11( 12 )
210 -> 11( 12 )
261 -> 11( 12 )
455 -> 11( 12 )
431 -> 11( 12 )
91 -> 11( 12 )
204 -> 11( 12 )
219 -> 12( 13 )
387 -> 12( 13 )
425 -> 12( 13 )
469 -> 12( 13 )
443 -> 12( 13 )
369 -> 12( 13 )
267 -> 12( 13 )
99 -> 12( 13 )
371 -> 13( 14 )
191 -> 13( 14 )
258 -> 13( 14 )
260 -> 13( 14 )
434 -> 13( 14 )
141 -> 13( 14 )
485 -> 13( 14 )
143 -> 14( 15 )
97 -> 14( 15 )
330 -> 14( 15 )
454 -> 14( 15 )
211 -> 14( 15 )
187 -> 14( 15 )
142 -> 14( 15 )
298 -> 15( 16 )
390 -> 15( 16 )
482 -> 15( 16 )
61 -> 15( 16 )
133 -> 16( 17 )
271 -> 16( 17 )
54 -> 16( 17 )
208 -> 16( 17 )
176 -> 16( 17 )
212 -> 16( 17 )
230 -> 17( 18 )
306 -> 17( 18 )
479 -> 17( 18 )
355 -> 17( 18 )
131 -> 17( 18 )
248 -> 18( 19 )
373 -> 18( 19 )
270 -> 18( 19 )
484 -> 18( 19 )
152 -> 18( 19 )
99 -> 18( 19 )
421 -> 19( 20 )
171 -> 19( 20 )
415 -> 19( 20 )
221 -> 19( 20 )
352 -> 19( 20 )
107 -> 19( 20 )
499 -> 20( 21 )
194 -> 20( 21 )
334 -> 21( 22 )
426 -> 21( 22 )
226 -> 21( 22 )
52 -> 22( 23 )
166 -> 22( 23 )
405 -> 22( 23 )
389 -> 22( 23 )
232 -> 23( 24 )
162 -> 23( 24 )
250 -> 23( 24 )
36 -> 24( 25 )
269 -> 24( 25 )
339 -> 24( 25 )
412 -> 24( 25 )
354 -> 25( 26 )
434 -> 25( 26 )
41 -> 25( 26 )
467 -> 26( 27 )
253 -> 26( 27 )
467 -> 27( 28 )
4 -> 27( 28 )
64 -> 27( 28 )
215 -> 28( 29 )
149 -> 28( 29 )
203 -> 28( 29 )
210 -> 28( 29 )
428 -> 28( 29 )
360 -> 28( 29 )
227 -> 29( 30 )
90 -> 29( 30 )
440 -> 29( 30 )
268 -> 30( 31 )
332 -> 30( 31 )
265 -> 30( 31 )
80 -> 30( 31 )
169 -> 30( 31 )
463 -> 30( 31 )
164 -> 31( 32 )
311 -> 31( 32 )
26 -> 31( 32 )
224 -> 32( 33 )
232 -> 32( 33 )
49 -> 32( 33 )
278 -> 32( 33 )
400 -> 32( 33 )
303 -> 32( 33 )
117 -> 32( 33 )
172 -> 33( 34 )
311 -> 33( 34 )
262 -> 33( 34 )
161 -> 33( 34 )
464 -> 33( 34 )
225 -> 33( 34 )
207 -> 34( 35 )
348 -> 34( 35 )
43 -> 34( 35 )
496 -> 34( 35 )
231 -> 35( 36 )
377 -> 35( 36 )
76 -> 35( 36 )
335 -> 35( 36 )
227 -> 36( 37 )
198 -> 36( 37 )
100 -> 36( 37 )
246 -> 36( 37 )
95 -> 36( 37 )
70 -> 36( 37 )
227 -> 37( 38 )
22 -> 37( 38 )
214 -> 37( 38 )
354 -> 38( 39 )
319 -> 38( 39 )
146 -> 38( 39 )
331 -> 38( 39 )
411 -> 38( 39 )
487 -> 38( 39 )
292 -> 38( 39 )
250 -> 39( 40 )
282 -> 39( 40 )
186 -> 39( 40 )
200 -> 39( 40 )
75 -> 40( 41 )
404 -> 40( 41 )
171 -> 40( 41 )
379 -> 40( 41 )
356 -> 40( 41 )
452 -> 41( 42 )
251 -> 41( 42 )
441 -> 41( 42 )
110 -> 42( 43 )
437 -> 42( 43 )
264 -> 42( 43 )
115 -> 42( 43 )
184 -> 42( 43 )
94 -> 42( 43 )
328 -> 42( 43 )
217 -> 43( 44 )
300 -> 43( 44 )
308 -> 43( 44 )
461 -> 43( 44 )
364 -> 43( 44 )
325 -> 44( 45 )
104 -> 45( 46 )
262 -> 45( 46 )
420 -> 45( 46 )
188 -> 45( 46 )
403 -> 45( 46 )
137 -> 45( 46 )
452 -> 46( 47 )
50 -> 46( 47 )
89 -> 46( 47 )
84 -> 46( 47 )
227 -> 47( 48 )
326 -> 47( 48 )
72 -> 47( 48 )
222 -> 47( 48 )
350 -> 48( 49 )
313 -> 48( 49 )
102 -> 48( 49 )
48 -> 49( 50 )
103 -> 49( 50 )
375 -> 50( 51 )
396 -> 50( 51 )
306 -> 51( 52 )
85 -> 51( 52 )
158 -> 51( 52 )
218 -> 51( 52 )
290 -> 51( 52 )
310 -> 51( 52 )
266 -> 51( 52 )
312 -> 51( 52 )
345 -> 51( 52 )
119 -> 52( 53 )
220 -> 52( 53 )
446 -> 52( 53 )
495 -> 52( 53 )
471 -> 52( 53 )
180 -> 53( 54 )
144 -> 53( 54 )
430 -> 54( 55 )
484 -> 54( 55 )
395 -> 54( 55 )
381 -> 54( 55 )
126 -> 55( 56 )
437 -> 55( 56 )
459 -> 55( 56 )
468 -> 56( 57 )
454 -> 56( 57 )
448 -> 56( 57 )
350 -> 57( 58 )
406 -> 57( 58 )
399 -> 57( 58 )
112 -> 57( 58 )
111 -> 58( 59 )
480 -> 58( 59 )
159 -> 58( 59 )
445 -> 58( 59 )
201 -> 59( 60 )
342 -> 59( 60 )
127 -> 60( 61 )
322 -> 60( 61 )
38 -> 60( 61 )
357 -> 60( 61 )
385 -> 60( 61 )
451 -> 60( 61 )
83 -> 61( 62 )
358 -> 61( 62 )
277 -> 62( 63 )
341 -> 62( 63 )
497 -> 62( 63 )
148 -> 63( 64 )
33 -> 63( 64 )
307 -> 63( 64 )
323 -> 63( 64 )
291 -> 63( 64 )
109 -> 63( 64 )
489 -> 64( 65 )
475 -> 64( 65 )
252 -> 65( 66 )
491 -> 65( 66 )
165 -> 65( 66 )
157 -> 66( 67 )
270 -> 67( 68 )
254 -> 67( 68 )
259 -> 67( 68 )
118 -> 67( 68 )
378 -> 68( 69 )
90 -> 68( 69 )
453 -> 68( 69 )
209 -> 68( 69 )
93 -> 68( 69 )
488 -> 69( 70 )
320 -> 69( 70 )
302 -> 69( 70 )
224 -> 69( 70 )
233 -> 69( 70 )
276 -> 70( 71 )
199 -> 71( 72 )
74 -> 71( 72 )
255 -> 71( 72 )
495 -> 71( 72 )
370 -> 71( 72 )
393 -> 71( 72 )
125 -> 71( 72 )
477 -> 72( 73 )
365 -> 72( 73 )
429 -> 72( 73 )
182 -> 72( 73 )
452 -> 73( 74 )
314 -> 73( 74 )
92 -> 73( 74 )
153 -> 73( 74 )
256 -> 74( 75 )
456 -> 74( 75 )
398 -> 74( 75 )
183 -> 75( 76 )
243 -> 76( 77 )
392 -> 77( 78 )
52 -> 78( 79 )
494 -> 78( 79 )
414 -> 78( 79 )
289 -> 78( 79 )
343 -> 78( 79 )
384 -> 78( 79 )
293 -> 78( 79 )
382 -> 79( 80 )
148 -> 79( 80 )
272 -> 79( 80 )
185 -> 80( 81 )
196 -> 81( 82 )
285 -> 81( 82 )
226 -> 81( 82 )
477 -> 82( 83 )
195 -> 82( 83 )
202 -> 82( 83 )
362 -> 82( 83 )
476 -> 83( 84 )
368 -> 83( 84 )
213 -> 83( 84 )
216 -> 83( 84 )
288 -> 84( 85 )
278 -> 86( 87 )
173 -> 86( 87 )
124 -> 87( 88 )
126 -> 88( 89 )
424 -> 88( 89 )
305 -> 88( 89 )
130 -> 88( 89 )
160 -> 89( 90 )
422 -> 89( 90 )
435 -> 89( 90 )
236 -> 89( 90 )
433 -> 90( 91 )
193 -> 90( 91 )
101 -> 91( 92 )
317 -> 92( 93 )
336 -> 93( 94 )
177 -> 93( 94 )
366 -> 94( 95 )
155 -> 95( 96 )
190 -> 96( 97 )
189 -> 96( 97 )
192 -> 96( 97 )
147 -> 97( 98 )
236 -> 98( 99 )
402 -> 98( 99 )
279 -> 99( 100 )
154 -> 100( 101 )
419 -> 101( 102 )
447 -> 101( 102 )
409 -> 102( 103 )
432 -> 102( 103 )
239 -> 103( 104 )
483 -> 104( 105 )
374 -> 105( 106 )
3 -> 105( 106 )
134 -> 105( 106 )
44 -> 106( 107 )
149 -> 108( 109 )
179 -> 108( 109 )
247 -> 108( 109 )
301 -> 109( 110 )
175 -> 109( 110 )
481 -> 111( 112 )
234 -> 111( 112 )
493 -> 112( 113 )
359 -> 113( 114 )
351 -> 113( 114 )
468 -> 114( 115 )
205 -> 114( 115 )
235 -> 115( 116 )
286 -> 116( 117 )
85 -> 116( 117 )
492 -> 116( 117 )
163 -> 116( 117 )
490 -> 118( 119 )
427 -> 119( 120 )
241 -> 120( 121 )
139 -> 120( 121 )
242 -> 121( 122 )
228 -> 123( 124 )
128 -> 123( 124 )
206 -> 124( 125 )
363 -> 125( 126 )
274 -> 125( 126 )
181 -> 126( 127 )
397 -> 128( 129 )
168 -> 128( 129 )
197 -> 128( 129 )
383 -> 129( 130 )
150 -> 131( 132 )
238 -> 131( 132 )
414 -> 132( 133 )
413 -> 135( 136 )
40 -> 135( 136 )
388 -> 136( 137 )
418 -> 138( 139 )
263 -> 139( 140 )
427 -> 140( 141 )
318 -> 141( 142 )
178 -> 145( 146 )
151 -> 148( 149 )
353 -> 150( 151 )
444 -> 151( 152 )
337 -> 151( 152 )
391 -> 153( 154 )
462 -> 154( 155 )
394 -> 155( 156 )
195 -> 156( 157 )
338 -> 157( 158 )
423 -> 162( 163 )
450 -> 162( 163 )
304 -> 162( 163 )
386 -> 163( 164 )
458 -> 164( 165 )
281 -> 167( 168 )
273 -> 168( 169 )
90 -> 170( 171 )
367 -> 170( 171 )
449 -> 170( 171 )
297 -> 176( 177 )
401 -> 176( 177 )
329 -> 177( 178 )
472 -> 179( 180 )
237 -> 179( 180 )
407 -> 185( 186 )
346 -> 189( 190 )
299 -> 189( 190 )
417 -> 201( 202 )
309 -> 203( 204 )
327 -> 204( 205 )
315 -> 212( 213 )
340 -> 223( 224 )
114 -> 223( 224 )
408 -> 227( 228 )
96 -> 229( 230 )
380 -> 242( 243 )
477 -> 257( 258 )
466 -> 262( 263 )
344 -> 273( 274 )
333 -> 283( 284 )
460 -> 283( 284 )
321 -> 291( 292 )
285 -> 294( 295 )
347 -> 300( 301 )
376 -> 348( 349 )
498 -> 397( 398 )
